loan_id,applicant_age,gender,marital_status,employee_status,residence_type,loan_purpose, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value,loan_interest,loan_percent_income,active_loans, loan_status
1,59,Women,Single,employed,MORTGAGE,Vehicle,9600000,29900000,12,778,2400000,17600000,22700000,8000000,6.54,8,3, Approved
2,64,Men,Single,self employed,MORTGAGE,Personal,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0.65,14,3, Rejected
3,24,Men,Single,employed,MORTGAGE,Home Renovation,9100000,29700000,20,506,7100000,4500000,33300000,12800000,9.49,4,1, Rejected
4,63,Men,Married,self employed,OWN,Home Renovation,8200000,30700000,8,467,18200000,3300000,23300000,7900000,8.47,15,4, Rejected
5,77,Men,Single,self employed,RENT,Education,9800000,24200000,20,382,12400000,8200000,29400000,5000000,6.91,3,1, Rejected
6,55,Women,Single,employed,RENT,Medical,4800000,13500000,10,319,6800000,8300000,13700000,5100000,5.59,18,5, Rejected
7,73,Men,Single,self employed,MORTGAGE,Medical,8700000,33000000,4,678,22500000,14800000,29200000,4300000,8.84,18,5, Approved
8,68,Men,Married,self employed,MORTGAGE,Vehicle,5700000,15000000,20,382,13200000,5700000,11800000,6000000,6.16,11,1, Rejected
9,38,Men,Single,student,OWN,Vehicle,800000,2200000,20,782,1300000,800000,2800000,600000,5.27,10,3, Approved
10,34,Women,Married,employed,MORTGAGE,Medical,1100000,4300000,10,388,3200000,1400000,3300000,1600000,1.32,2,2, Rejected
11,45,Women,Single,employed,OWN,Vehicle,2900000,11200000,2,547,8100000,4700000,9500000,3100000,3.49,4,1, Approved
12,50,Women,Single,self employed,RENT,Business,6700000,22700000,18,538,15300000,5800000,20400000,6400000,1.21,12,5, Rejected
13,53,Women,Single,student,OWN,Medical,5000000,11600000,16,311,6400000,9600000,14600000,4300000,5.5,8,1, Rejected
14,61,Women,Single,self employed,RENT,Home Renovation,9100000,31500000,14,679,10800000,16600000,20900000,5000000,4.2,11,4, Approved
15,28,Women,Single,self employed,MORTGAGE,Medical,1900000,7400000,6,469,1900000,1200000,5900000,1900000,9.28,0,4, Rejected
16,80,Women,Married,self employed,MORTGAGE,Personal,4700000,10700000,10,794,5700000,3900000,16400000,4400000,9.92,4,1, Approved
17,69,Men,Single,student,OWN,Medical,500000,1600000,4,663,1300000,100000,1300000,700000,4.04,16,5, Approved
18,57,Men,Married,employed,RENT,Vehicle,2900000,9400000,14,780,2900000,2800000,6700000,4300000,7.76,8,4, Approved
19,46,Men,Single,self employed,OWN,Education,2700000,10300000,10,736,1000000,0,6200000,3300000,4.08,4,4, Approved
